Study,Experiment,model,wta_accuracy
Martyetal_2023,Exp_2,Llama-2-70b-hf,0.8958333333333334
Martyetal_2023,Exp_2,Mixtral-8x7B-v0.1,0.875
Martyetal_2023,Exp_2,text-davinci-003,0.8541666666666666
Martyetal_2023,Exp_1,Llama-2-70b-hf,0.8333333333333334
Martyetal_2023,Exp_1,Mistral-7B-v0.1,0.7708333333333334
Martyetal_2023,Exp_1,Mixtral-8x7B-v0.1,0.7708333333333334
Martyetal_2023,Exp_1,Mistral-7B-Instruct-v0.2,0.75
Martyetal_2023,Exp_2,Mistral-7B-Instruct-v0.2,0.75
Martyetal_2023,Exp_2,Mixtral-8x7B-Instruct-v0.1,0.75
Martyetal_2023,Exp_1,Llama-2-7b-chat-hf,0.6875
Martyetal_2023,Exp_1,Llama-2-13b-hf,0.6666666666666666
Martyetal_2023,Exp_1,Mixtral-8x7B-Instruct-v0.1,0.6666666666666666
Martyetal_2023,Exp_1,text-davinci-003,0.6666666666666666
Martyetal_2023,Exp_1,pythia-6.9b,0.625
Martyetal_2023,Exp_2,falcon-7b,0.6041666666666666
Martyetal_2023,Exp_2,Llama-2-13b-hf,0.6041666666666666
Martyetal_2023,Exp_2,Mistral-7B-v0.1,0.6041666666666666
Martyetal_2023,Exp_1,Llama-2-7b-hf,0.5833333333333334
Martyetal_2023,Exp_2,phi-2,0.5833333333333334
Martyetal_2023,Exp_2,pythia-6.9b,0.5625
Martyetal_2023,Exp_1,falcon-7b,0.5416666666666666
Martyetal_2023,Exp_2,Llama-2-7b-chat-hf,0.5416666666666666
Martyetal_2023,Exp_2,Llama-2-7b-hf,0.5416666666666666
Martyetal_2023,Exp_1,Llama-2-13b-chat-hf,0.5
Martyetal_2023,Exp_1,Llama-2-70b-chat-hf,0.5
Martyetal_2023,Exp_1,phi-2,0.5
Martyetal_2023,Exp_1,pythia-12b,0.5
Martyetal_2023,Exp_1,pythia-2.8b,0.5
Martyetal_2023,Exp_2,Llama-2-13b-chat-hf,0.5
Martyetal_2023,Exp_2,Llama-2-70b-chat-hf,0.5
Martyetal_2023,Exp_2,pythia-2.8b,0.5
Martyetal_2023,Exp_2,pythia-12b,0.4375
